Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,54882,53638,346000.0,324971.53586320643,238.74179999984335,622668.7856999997,236.22386210415073,58.826071785273975,57.492672249891136,346000,393000,527000,577000,587000,601000,608000,616000,623000,623000,623000
POST,/,221,221,15000.0,83028.68567556549,3559.9954999997863,706158.9007000002,0.0,0.23688207180032703,0.23688207180032703,15000,89000,98000,103000,104000,381000,701000,701000,706000,706000,706000
GET,/cart,5732,5091,63000.0,77293.78142979759,230.84539999763365,617364.7887000006,867.1371249127704,6.143927762712554,5.456862568033778,63000,74000,82000,94000,164000,289000,393000,576000,617000,617000,617000
POST,/cart,3724,3401,63000.0,85525.69853128353,452.7443000006315,707549.1709000017,1455.21589688507,3.9916236895222528,3.6454114307371595,63000,77000,91000,104000,165000,367000,582000,613000,706000,708000,708000
POST,/cart/checkout,882,734,66000.0,105032.68913412692,271.352100000513,609728.7675000007,1135.2868480725624,0.9453845580447441,0.7867486004590047,66000,93000,116000,157000,320000,394000,589000,606000,610000,610000,610000
GET,/product/0PUK6V6EV0,2760,2465,63000.0,76746.07029608711,231.09629999817116,617269.6262999998,843.5507246376811,2.9583462360583828,2.642146185465186,63000,74000,83000,95000,164000,279000,386000,576000,613000,617000,617000
GET,/product/1YMWWN1N4O,2791,2466,64000.0,78489.03551397363,230.21479999806616,612813.9155000027,920.5066284485847,2.9915740379851257,2.643218050043468,64000,75000,83000,95000,165000,281000,392000,532000,608000,613000,613000
GET,/product/2ZYFJ3GM2N,2855,2543,64000.0,79040.00003397536,233.29290000037872,617270.6902999999,863.6868651488617,3.060173370995175,2.7257516225711838,64000,75000,82000,96000,164000,284000,519000,576000,615000,617000,617000
GET,/product/66VCHSJNUP,2661,2381,63000.0,77538.91902649387,230.85079999873415,612612.9252999999,827.7955655768508,2.8522316428084626,2.5521095608894964,63000,74000,83000,95000,164000,283000,394000,539000,612000,613000,613000
GET,/product/6E92ZMYYFZ,2768,2467,63000.0,78867.78274638733,231.58800000237534,612626.4277000009,854.3363439306358,2.966921152684639,2.64428991462175,63000,75000,83000,95000,165000,285000,386000,535000,612000,613000,613000
GET,/product/9SIQT8TOJO,2624,2338,63000.0,76192.45610571628,231.6748999983247,612278.7949999983,861.9607469512196,2.812572653412028,2.5060193840233693,63000,74000,80000,95000,164000,277000,392000,538000,608000,612000,612000
GET,/product/L9ECAV7KIM,2848,2529,64000.0,80906.1000637289,232.4162000004435,617379.1201999993,882.4238061797753,3.052670318947201,2.710745518475236,64000,75000,89000,98000,165000,288000,526000,579000,613000,617000,617000
GET,/product/LS4PSXUNUM,2763,2454,63000.0,76810.46537998559,237.70859999785898,617322.7765999981,880.624683315237,2.961561829793229,2.630355675104084,63000,74000,80000,95000,164000,277000,392000,576000,613000,617000,617000
GET,/product/OLJCESPC7Z,2842,2532,63000.0,77958.04390154821,231.32750000149827,612598.584700001,862.6393384940183,3.046239131477509,2.7139611122100815,63000,75000,82000,96000,164000,291000,393000,576000,611000,613000,613000
POST,/setCurrency,3543,3383,62000.0,79013.59544273214,1.0017999993578997,617343.8657999977,471.9844764324019,3.7976162008532066,3.626117868328083,62000,72000,77000,91000,165000,313000,527000,579000,615000,617000,617000
,Aggregated,93896,88643,118000.0,222936.85375900945,1.0017999993578997,707549.1709000017,507.13659793814435,100.64379644236881,95.01329181265335,118000,321000,387000,394000,579000,592000,605000,610000,623000,705000,708000
